[ 2025-10-07 16:28:08,707 ] 17 root - INFO - Initiate the data ingestion 
[ 2025-10-07 16:29:02,453 ] 64 root - INFO - Performed train test split on the dataframe 
[ 2025-10-07 16:29:02,453 ] 66 root - INFO - Excited split_data_as_train_test method of Data_Ingestion class 
[ 2025-10-07 16:29:02,457 ] 72 root - INFO - Exporting train and test file path. 
[ 2025-10-07 16:29:02,575 ] 81 root - INFO - Exported train and test file path. 
[ 2025-10-07 16:29:02,577 ] 19 root - INFO - Data Initiation Completed 
[ 2025-10-07 16:29:02,580 ] 24 root - INFO - Initiate the data Validation 
[ 2025-10-07 16:29:02,679 ] 61 root - INFO - Required number of columns: 31 
[ 2025-10-07 16:29:02,679 ] 62 root - INFO - Data frame has columns:31 
[ 2025-10-07 16:29:02,696 ] 61 root - INFO - Required number of columns: 31 
[ 2025-10-07 16:29:02,696 ] 62 root - INFO - Data frame has columns:31 
[ 2025-10-07 16:29:02,989 ] 26 root - INFO - data Validation Completed 
[ 2025-10-07 16:29:02,989 ] 30 root - INFO - data Transformatioon Started 
[ 2025-10-07 16:29:02,992 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class 
[ 2025-10-07 16:29:02,992 ] 63 root - INFO - Starting data transformation 
[ 2025-10-07 16:29:03,032 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class 
[ 2025-10-07 16:29:03,035 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2025-10-07 16:29:03,058 ] 45 root - INFO - Entered the save_object method of main utils class 
[ 2025-10-07 16:29:03,065 ] 49 root - INFO - Exited the save_object method of mainutils class 
[ 2025-10-07 16:29:03,068 ] 34 root - INFO - data Transformation Completed 
[ 2025-10-07 16:29:03,068 ] 36 root - INFO - Model Training started 
